,tweet_author,tweet_text
21,paperbirds hematology,new article  phase   study of acalabrutinib in ibrutinib intolerant patients with relapsed refractory chronic lymphocytic leukemia https   t co osjpzyceze  cll  leusm  hematology
22,pharma news,targeted oral monotherapy calquence  acalabrutinib  recommended by nice for patients with chronic lymphocytic leukaemia  cll  https   t co tj w zckd   pharmanews  clinicalresearchnews  biotechnews  lifesciencesnews  medicalnews  healthcarenews  pharmiwebnews https   t co wya uuojqo
23,cll ireland,as the uk approve new treatments for  cll with acalabrutinib now available  ireland falls far behind  patients need better options    janrynne  donnellystephen  hselive  davidcullinane  hsenccp  paulreiddublin  ipposi  paulmcauliffe  roisinshortall https   t co tw zainolp
24,pharmaphorum,  nicecomms backs nhs use for  astrazeneca s calquence for new leukaemia indication  and  daiichisankyo s cholesterol lowering drugs nilemdo and nustendi  heor https   t co pqfk n pci
25,toby eyre, acalabrutinib  nicecomms approved for  l  cll in uk   all pts considered unfit for fcr or br   all pts tp   mut del   all relapsed cll  enjoyed talking about this with  cllsupport chair of trustees marc auckland on sky news this am    great news for our  cll pts   bloodcancer uk https   t co sh iidgkel
26,lymphoma papers,safety and antitumor activity of acalabrutinib for relapsed refractory b cell malignancies  a japanese phase i study  lymphoma  lymsm https   t co nrxd yk zm
27,paperbirds hematology,new article  safety and antitumor activity of acalabrutinib for relapsed refractory b cell malignancies  a japanese phase i study https   t co ivdjs l z   cll  leusm  hematology
28,lymphoma hub,congress   ebmt      michaelwangmd   mdandersonnews  discussed results of the zuma   study in r r mantel cell lymphoma by morphology and prior btki exposure to ibrutinib and or acalabrutinib  he concluded that all subgroups drew clinical benefit from kte x   treatment   lymsm https   t co vufxrfrbgd
29,trip database,new trip  acalabrutinib  calquence  for treatment of chronic lymphocytic leukaemia  cll  https   t co mr qszwczx
30,osgood,calquence commercial had a really pretty lady in it  chanel  twittersupport a nurse i think
31,paperbirds hematology,new clinical trial  acalabrutinib  umbralisib  and ublituximab for the treatment of previously untreated mantle cell lymphoma https   t co i  benjlrg  mcl  lymsm  hematology
32,thiago carvalho, solidarity negotiated with astra zeneca to test its cancer drug acalabrutinib  which dampens the immune system  investigators changed treatment protocols to include the medicine  but then the company decided not to give the green light    https   t co x  mjlnv  
33,kartos therapeutics,icymi  please view our  ash   tip poster presentation about a new study that will explore the combination of krt      mdm i    acalabrutinib in patients with r r b cell malignancies  https   t co g uoottdlo  find out more at https   t co sgbnxj znx  lymsm  cll  dlbcl
34,apoli naria,iqvia rds argentina s r l  representa en argentina a     janssen vaccines  amp  prevention b v     pharma b v     astrazeneca ab    amgen inc   acalabrutinib apremilast lanadelumab abatacept remdesivir infliximab mesilato de cenicriviroc  https   t co kuruk rkiy  cc    spitta    
35,michael wang  md,maria  we appreciate you  our group has passed   fda inspections  in       we led ibrutinib fda approval  in       we led acalabrutinib fda approval and in       we led brexucarbatagene autoleucel fda approval  without your leadership and our wonderful team  not possible  https   t co fpumj qaq 
36,cardio targets,the role of acalabrutinib in adults with chronic lymphocytic leukemia https   t co xv  it zeo
37,lymphoma papers,the role of acalabrutinib in adults with chronic lymphocytic leukemia  lymphoma  lymsm https   t co lvp uro so
38,paperbirds hematology,new article  the role of acalabrutinib in adults with chronic lymphocytic leukemia https   t co xrlun evpu  cll  leusm  hematology
39,cardio targets,the role of acalabrutinib in adults with chronic lymphocytic leukemia  https   t co apru  bg r
40,paperbirds hematology,new article  the role of acalabrutinib in adults with chronic lymphocytic leukemia  https   t co yanuxmbr    cll  leusm  hematology
41,jeff sharman,the role of cd   in addition to btk inhibitors is not a closed story   we previously published obinutuzumab benefit with acalabrutinib  https   t co klsjuwwfdm      now we show  ublituximab to ibrutinib has benefit in   p  tgtherapeutics  anthonymatomd   https   t co l qrcv uds
42,paperbirds hematology,new clinical trial  acalabrutinib and rituximab for the treatment of previously untreated mantle cell lymphoma https   t co kpdyk kvoo  mcl  lymsm  hematology
43,im m dico,acalabrutinib alcanza el objetivo primario de eficacia en comparaci n con ibrutinib en llc  astrazenecaes         https   t co  vtn bsx o
44,firstword pharma,physician views preview  digging into the impressive us launch of astrazeneca s calquence  azn https   t co mv lvmuuqb
45,cancernetwork   home of the journal oncology , icymi  overall  the phase   elevate rr trial demonstrated efficacy of acalabrutinib and a safety and tolerability profile that with was consistent with that observed in the broader acalabrutinib clinical development program  https   t co m  j  lbfc
46,tom henry  mba  rph  cph,cll research  acalabrutinib   an analysis of cardiovascular events https   t co spouz fdnp
47,medivizor,comparing acalabrutinib to standard treatments in patients with chronic lymphocytic l    https   t co tlxiunst a via  medivizor  leukemia
48,mednetnews,mcl survival likely affected by reason for acalabrutinib discontinuation https   t co hsjczh kq 
49,ajmc,mantle cell lymphoma survival likely affected by reason for acalabrutinib discontinuation  https   t co cbfjm ghpy https   t co plfzmtrpzo
50,patient worthy,calquence beneficial for cll  study shows https   t co zlyxexhka   calquence  cll  chroniclymphocyticleukemia  rarecancer  treatment  llsusa
51,paperbirds hematology,new clinical trial  alicia  acalabrutinib in cll therapy  https   t co xuhpwiu mo  cll  leusm  hematology
52,cat,https   t co ndvz ayo k
53,hemalatha rangarajan md, tctm    gvhdsm  chronicgvhd  stephanieleemd number of registered studies for cgvhd  drugs in these studies  a newer  itinib    oral acalabrutinib https   t co cxlx uwecv
54,mednetnews,mantle cell lymphoma treatment market by product type  acalabrutinib  jcar      and by end users application  hospital  clinic  market share  forecast data  in depth analysis  and detailed overview  and forecast              https   t co h s og g n
55,bita fakhri,in this review  we tried to situate  acalabrutinib among the treatment options for patients with treatment naive and rel ref cll   https   t co ajnffcevep
56,ncpe,acalabrutinib  calquence     hta id          national centre for pharmacoeconomics   https   t co hvplp ze b https   t co wi dvbzxzt
57,journal onkologie,news von https   t co y rvlbthwz   lesen sie jetzt den vollst ndigen beitrag unter  https   t co c mrjsbxlu   arzt  schmerz  cll immunchemotherapie  leuk mie  immuntherapie  neutropenie  mutation  acalabrutinib  patient  therapie  unvertr glichkeiten  zulassung  studie
58,oncology learning network,in this video  dr danilov   ohsunews  discusses the use of  acalabrutinib    calquencehcp  as a treatment option for  patients with cll  sll  and mcl   watch here  https   t co uulj g   s   meded  medtwitter  healthcare https   t co  fhgk h v 
59,oncology learning network,in this video interview  dr graff   mercyonedsm  discusses the evolving treatment landscape for  cll in recent years  especially with the introduction of  acalabrutinib  calquence  astrazeneca    watch here  https   t co tdq yoivv  https   t co  zw geap w
60,onclive com,for the phase   trial  investigators set out to evaluate pfs benefit with acalabrutinib versus ibrutinib in previously treated patients with high risk cll   leusm https   t co rfp zfi ua
61,medivizor,comparing acalabrutinib to standard treatments in patients with chronic lymphocytic    from  medivizor  https   t co tlxiunst a  leukemia
62,trialsite news,astrazeneca s calquence meets primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia  https   t co k ggko  lz   hematology  oncology  acalabrutinib  cll  pfs  n      astrazeneca https   t co rm   oxva 
63,trip database,new trip  acalabrutinib https   t co xn yfvxe z
64,lyfebulb,calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia https   t co qc wdwwccp  chronicillness  digitalhealth  lyfebulb
65,onclive com,acalabrutinib showed noninferior progression free survival and a significantly lower incidence of atrial fibrillation versus ibrutinib in patients with high risk chronic lymphocytic leukemia   leusm https   t co oyihndet i
66,the medical ed cons ,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica   https   t co hg z bvktk
67,cancernetwork   home of the journal oncology ,overall  the phase   elevate rr trial demonstrated efficacy of acalabrutinib and a safety and tolerability profile that with was consistent with that observed in the broader acalabrutinib clinical development program     astrazeneca  https   t co m  j  lbfc
68,carnivoreshealth,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co lvzyqyfrza https   t co ek ttoltu 
69,portfolio penny,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co aaqf btz m https   t co  oki gxpjp
70,fancyfinancy,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co h uhkfdvpk https   t co ysanwczglk
71,robo schmobo,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co bfn cravg  https   t co qc sl xbce
72,financial carnivores,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co showno jih https   t co fxx gkb ww
73,lymphoma hub,news  acalabrutinib has met the primary endpoint of non inferior pfs vs ibrutinib in the phase iii elevate rr trial for r r cll  find out more here https   t co qarwkgmnje  lymsm https   t co piptt tbg 
74,netcancer,  ammh mato  l acalabrutinib un nouveau traitement chez les patients adultes atteints d une  leuc mie lympho de chronique   retrouvez tous les d tails de cette mol cule sur notre findrugs   https   t co tvrzx nlcp   cancer  innovation  informationpatient  h matologie  traitement https   t co mlpo wmwbk
75,dmgaz,a head to head study of two  leukemia drugs showed one may be safer relative to side effects associated with cardiac issues   cardiology  cancer  stroke https   t co zqsvegsayv
76,amit patel  ,impact of  cart therapy in those patients with  mantle cell  lymphoma that remain alive in this cohort after  acalabrutinib failure https   t co ces lsuoio
77,blood advances,acalabrutinib monotherapy in patients with chronic lymphocytic leukemia who are intolerant to ibrutinib https   t co rmicwsmc z  cll https   t co vaarexgtfh
78,the medical ed cons ,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica   https   t co hg z bvktk
79,silas inman,acalabrutinib shows noninferior pfs  less atrial fibrillation versus ibrutinib in high risk cll https   t co hknmf nr m
80,onclive com,acalabrutinib shows noninferior pfs versus ibrutinib in high risk cll  leusm https   t co ikwuezsi i
81,targeted oncology,in adults with previously treated  high risk chronic lymphocytic leukemia  treatment with acalabrutinib was found to be non inferior to treatment with ibrutinib in terms of progression free survival   leusm https   t co zah khpfkv
82,analysource  premier drug pricing services,five things for pharma marketers to know  tuesday  january            roundup   mm amp m   medical marketing and media https   t co dpi rn plu   covid    boostershot  calquence   merck  statnews  mmmnews  nytimes  endpts  politico  cnbc  moderna tx  astrazenecaus  pfizer https   t co pvcoprgyc 
83,helix biopharma,astrazeneca said its calquence had lower rate of atrial fibrillation cases compared with johnson  amp  johnson and abbvie s rival btk inhibitor imbruvica in a head to head phase   chronic lymphocytic leukemia trial   azn  jnj  abbv  leukemia  pharma  https   t co  n kv mhza
84,alphabronze,astrazeneca said its calquence had lower rate of atrial fibrillation cases compared with johnson  amp  johnson and abbvie s rival btk inhibitor imbruvica in a head to head phase   chronic lymphocytic leukemia trial   azn  jnj  abbv  leukemia  pharma  https   t co pbhwvartai
85,trialsite news,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia  https   t co ivzqptqgyj   astrazeneca  calquence  lymphoma  mantle  cell  lymphoma  pfs  cll  acalabrutinib https   t co hsryadwja 
86,plexus ventures, az says  calquence is a safer drug than  imbruvica https   t co e rz zoogo via  pharmaphorum  astrazeneca
87,toby eyre,outcomes of relapsed mantle cell lymphoma patients after discontinuing acalabrutinib https   t co hosyreaeo 
88,paperbirds hematology,new article  the european medicines agency review of acalabrutinib for the treatment of adult patients with chronic lymphocytic leukemia  https   t co n i my hqy  cll  leusm  hematology
89,biopharmaasia,calquence approved for the treatment of relapsed or refractory chronic lymphocytic leukaemia in japan   https   t co nmsyygkfsm
90, stoncology, astrazeneca reported that  calquence met primary efficacy endpoint in head to head trial against  ibrutinib in  chroniclymphocyticleukemia https   t co  pjxyijgxy
91, stoncology, astrazeneca reported that  calquence approved in japan for the treatment of   relapsed or  refractory  chroniclymphocyticleukaemia https   t co alf oezq j
92,bio talent,calquence tops imbruvica in chronic lymphocytic leukaemia study  https   t co ecfqjzcqho  find us at https   t co  ddltqr h  https   t co  d dyockdw
93, stoncology, astrazeneca reported that  calquence met primary efficacy endpoint in head to head trial against  ibrutinib in  chroniclymphocyticleukaemia https   t co  hi lswq e
94,roberto bonin,calquence ha raggiunto l endpoint primario di efficacia nello studio testa a testa contro ibrutinib nella leucemia linfocitica cronica https   t co  xcbbettfm
95,taro shiga,                                                https   t co nbxvw yna   prtimes jp      acalabrutinib  calquence    cll   cardioonc                                    https   t co pq zeoaltz
96,susan,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co hdbf xjqmy
97,biocentury,monday s quick takes include comirnaty s provisional approval in australia and authorization in hong kong  plus priority reviews for albireo and iterum  and calquence meets in phase iii cll trial https   t co nvyd cgqyp
98,endpoints news,three years after first launching calquence as a second generation btk inhibitor  astrazeneca continues to tout new data to compete with j amp j and abbvie s first generation blockbuster imbruvica    https   t co tlgdxmdx o
99,pharma top news,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica   biopharma dive  pharmatopnews  oncologytopnews  oncology  https   t co re damfx x
100,onclive com,acalabrutinib approved in japan for relapsed refractory cll  leusm https   t co  klyhko dq
101,fiercepharma,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co kbg dcffmb
102,benlazar s m amin ,outcomes of relapsed mantle cell  lymphoma patients after discontinuing acalabrutinib   jain     american journal of hematology   wiley online library https   t co o qbbgml r https   t co bat qqnckg
103,webwire,calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia https   t co pmcbcuocgs
104,tecnomedicina,calquence ha raggiunto l endpoint primario di efficacia nello studio testa a testa contro ibrutinib nella leucemia linfocitica cronica https   t co bsv lyniyl
105,hemonc today,   topline results of randomized phase   elevate rr trial show that acalabrutinib exhibits comparable efficacy and superior safety when compared with ibrutinib for chronic lymphocytic leukemia https   t co kuiibqsloz  cll  astrazeneca https   t co r  qeefl o
106,brainsights ios app,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia   neuro central via brainsights for ios https   t co sqar eaiyz
107,dr timos papagatsias,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co  kgb wpfov  strategy  competitiveintelligence  marketing  pharma  productmarketing  pharmaceutical  healthcare  biotech
108,newexpressnews,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co shghmeihre
109,biopharma dive,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co xoboklteux by  byjongardner  azn  abbv  jnj
110,market intelligence  healthcare,astrazeneca s calquence was as effective as johnson  amp  johnson s imbruvica in delaying the progression of a type of blood cancer in a late stage study https   t co m ykcm n a   azn  jnj https   t co lbwf   mrk
111,ben fidler,astrazeneca  with new data  claims its leukemia drug is safer than imbruvica https   t co hlhoijmqzy  byjongardner  azn  abbv  jnj  mrk  lly
112,                   insights  pharma   ,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co rmkhedopxj
113,pharmabox in,astrazeneca touts calquence safety win against imbruvica in leukemia trial showdown https   t co anpvugeyzs
114,cafepharma,az says calquence is a safer drug than imbruvica https   t co rp bdquhoe
115,calgary herald,astrazeneca says calquence approved in japan for cll https   t co vvdwaqwqay
116,endpoints news,three years after first launching calquence as a second generation btk inhibitor  astrazeneca continues to tout new data to compete with j amp j and abbvie s first generation blockbuster imbruvica  by   jasonmmast  https   t co tlgdxmv so
117,david ledger,calquence tops imbruvica in chronic lymphocytic leukaemia study https   t co  owwcmewbc https   t co fzp ss egh
118,biotech   tech stock focus, azn astrazeneca reports positive phase   results of calquence against ibrutinib in cll https   t co bc gdtrxbd
119,dr timos papagatsias,astrazeneca s calquence nabs another win against imbruvica  but eli lilly is on its heels https   t co crih rtttv  strategy  competitiveintelligence  marketing  productmarketing  pharma  biotech  pharmaceutical  healthcare https   t co fephag  jz
120,corporate news, azn calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia https   t co y h eimryd
121,                   insights  pharma   ,astrazeneca s calquence nabs another win against imbruvica  but eli lilly is on its heels https   t co rr rh xzyz
122,paperbirds hematology,new clinical trial  a study on limiting treatment time with acalabrutinib combined with obinutuzumab in people with cll or sll https   t co pcxrdx rys  cll  leusm  hematology
123,investorsobserver, azn        reports calquence met primary efficacy endpoint in a head to head trial against ibrutinib  receives approval in japan for treatment of relapsed or refractory chronic lymphocytic leukemia    https   t co mdjbolle y
124,devdiscourse,brief astrazeneca says calquence approved in japan for cll https   t co fbgch txu 
125,company news hq,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia https   t co ny qwdup o
126,chitraders, azn astrazeneca s calquence successful in lymphocytic leukaemia study https   t co  yoennjgjv
127,    ,awesomecapital  astrazeneca  calquence safer than imbruvica https   t co cxedylnqvy
128,briefing com, azn  astrazeneca reports calquence met primary efficacy endpoint in head to head trial against ibrutinib  recieves    https   t co fvib  nojy
129,quant data,astrazeneca s calquence met its primary efficacy endpoint  related tickers   azn read more at  https   t co  zmd  eky 
130,pharmatimes,calquence tops imbruvica in chronic lymphocytic leukaemia study https   t co rym dexyju  pharmanews  pharma
131,otc dynamics  inc , azn calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia https   t co wx bckcevx
132,latest news from business wire,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia https   t co fbgmw  yxz https   t co  ruxrwogie
133,impharma news,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia  https   t co ww syfqmgi
134,crwe world,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia https   t co z lm bskso
135,astrazenecaus,today we announced high level results from the head to head elevate rr phase iii trial in adults with previously treated  high risk chronic lymphocytic  leukemia  learn more  https   t co kucufov mt https   t co bjlnjyzube
136,stock titan, azn calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukemia https   t co pcj mo  hg
137,gordon gekko,astrazeneca s calquence successful in lymphocytic leukaemia study https   t co e lkfbw zg
138,investor news,astrazeneca s calquence successful in lymphocytic leukaemia study  azn https   t co mikeqaidx 
139,stocks tweets,astrazeneca s calquence successful in lymphocytic leukaemia study https   t co tvircguaeg
140,breaking news, azn   astrazeneca s calquence successful in lymphocytic leukaemia study https   t co tupuq e jw
141,soumyajyoti biswas, azn astrazeneca s calquence met primary endpoint in head to head trial vs  ibrutinib the company states    positive high level results from the elevate rr phase iii trial showed astrazeneca s calquence  or acalabrutinib  met th    https   t co  sexne wox
142,pharmaphorum,  astrazeneca says calquence is less likely to cause atrial fibrillation than j amp j and abbvie s market leading btk inhibitor imbruvica  also gets green light for the drug in japan for relapsed chronic lymphocytic  leukaemia  pharma  oncology https   t co ckiwpoqqi  https   t co oajbym tew
143,shifting wealth,astrazeneca s calquence approved in japan for cll treatment  azn
144,dough, azn calquence head to head study vs imbruvica in  l cll non inferior pfs with significant reduction in atrial fibrillation 
145,shifting wealth,astrazeneca s calquence met primary endpoint in head to head trial vs  ibrutinib  azn
146,finanzlinksratings,  goldman bel sst astrazeneca auf  sell    ziel      pence  new york  dpa afx analyser    die us investmentbank goldman sachs hat die einstufung f r astrazeneca angesichts positiver studiendaten mit dem medikament calquence zur behandlung  https   t co ll o n  fn aktiencheck
147,finanzlinksratings,  dpa afx  goldman bel sst astrazeneca auf  sell    ziel      pence  new york  dpa afx analyser    die us investmentbank goldman sachs hat die einstufung f r astrazeneca angesichts positiver studiendaten mit dem medikament calquence zur  https   t co s lcqal  i finanztreff
148,pharmabox in,calquence tops imbruvica in chronic lymphocytic leukaemia study https   t co ced  rpvq 
149,lifepronow pharma research and news,calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia  https   t co    f eyyw  https   t co qjihtirewu
150,josekun,brief astraxeneca says calquence approved in japan for cll https   t co   s wnhmwz
151,josekun,astrazeneca s leukaemia treatment wins approval in japan  calquence meets primary goal https   t co qizmgrqdqg
152,jan ehses, azn https   t co  qbjq d  e
153,jan ehses, azn https   t co xievirvgut
154,kevin jacobs            , azn calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia
155,golden casino news,calquence met primary endpoint against ibrutinib   https   t co  dnw je hx
156,golden casino news,calquence approved in japan for cll   https   t co ay  hrr mf
157,kevin jacobs            , azn calquence met primary endpoint against ibrutinib   met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia   superior safety on key secondary endpoint of atrial fibrillation
158,sharecast com,astrazeneca reports positive test results  new approval for  calquence  https   t co mkjcgptvio
159,ein presswire  pharmaceutical newswire,astrazeneca s leukaemia treatment wins approval in japan  calquence meets primary goal https   t co itc  p  kp
160,value s vector,livesquawk   azn   astrazeneca plc   calquence met primary endpoint against ibrutinib calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia
161,devdiscourse,brief astraxeneca says calquence approved in japan for cll https   t co jjwbaalbwl
162,devdiscourse,brief astrazeneca says calquence met primary endpoint against ibrutinib https   t co pudcymtl  
163,mathan, azn   astrazeneca plc   calquence met primary endpoint against ibrutinib calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia
164,cision news,calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia https   t co vxtrombric
165,cision news,calquence approved in japan for cll https   t co livcdcnsxj
166,company news hq,calquence approved in japan for the treatment of relapsed or refractory chronic lymphocytic leukaemia https   t co  brx cbnuq
167,cision news,calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia https   t co e z jbbjch
168,cision news,calquence met primary endpoint against ibrutinib https   t co nb inloyke
169,livesquawk, azn   astrazeneca plc   calquence met primary endpoint against ibrutinib calquence met primary efficacy endpoint in head to head trial against ibrutinib in chronic lymphocytic leukaemia
170,tyr kinase papers,the european medicines agency review of acalabrutinib for the treatment of adult patients with chronic lymphocytic leukemia https   t co zdbyiv ngy
171,paperbirds hematology,new clinical trial  acalabrutinib in cll and mcl patients subjected to allogeneic hematopoietic stem cell transplantation  allosct  https   t co s yrtwe ly  mcl  lymsm  hematology
172,paperbirds hematology,new clinical trial  acalabrutinib in cll and mcl patients subjected to allogeneic hematopoietic stem cell transplantation  allosct  https   t co bvsrwzhwbx  cll  leusm  hematology
173,health radio online,astrazeneca s new calquence  data in mantle cell lymphoma  mcl  read more  https   t co aahaiq  rn  calquence  ash      mantlecelllymphoma
174,medivizor,check out  comparing acalabrutinib to standard treatments in patients with chronic ly    https   t co tlxiunst a via  medivizor  leukemia
175,aaron goodman    papa heme ,this is what happens when you let oncologists design trials for a viral infection   the following therapies are were being tested in covid   trials  ruxolitinib etoposide ibrutinib selinexor lenalidomide acalabrutinib baricitinib zanabrutinib chest radiation
176,cadth,cadth has issued a final recommendation that  acalabrutinib   calquence  be reimbursed with clinical criteria and or conditions for the treatment of chronic lymphocytic  leukemia  previously untreated     read the full recommendation here  https   t co dab gavddc https   t co z zfvd  nw
177,toby eyre,great to continue to recruit into the first ever randomised  l trial in  richters transformation  rchop vs rchop acalabrutinib  we are a quarter of the way there   lymsm  cll  ouh research  annaschuh  https   t co dvl pno oy
178,lymphoma papers,acalabrutinib  a highly selective  potent bruton tyrosine kinase inhibitor for the treatment of chronic lymphocytic leukemia   lymphoma  lymsm https   t co vntojxbal 
179,paperbirds hematology,new article  acalabrutinib  a highly selective  potent bruton tyrosine kinase inhibitor for the treatment of chronic lymphocytic leukemia  https   t co aa xlpsm    cll  leusm  hematology
180,medivizor,learn more  comparing acalabrutinib to standard treatments in patients with chroni    https   t co tlxiunst a  leukemia  via  medivizor 
181,top news corner,new post  acalabrutinib market report  size  key players and global forecast to       has been published on https   t co fdzrb krvd   https   t co  tixxqsj c https   t co firppydhi 
182,pharmazeutische zeitung,mit acalabrutinib kam im dezember ein neuer bruton tyrosinkinase btk  hemmer auf den markt  der neuling wird wie das seit      verf gbare ibrutinib peroral bei patienten mit chronisch lymphatischer  leuk mie eingesetzt https   t co jjqy xcuam
183,rs ,https   t co xtwa bz nb
184,amar bhandari,global acalabrutinib market in depth analysis report      https   t co nx nfukgfb
185,industry news engine,acalabrutinib market report till        global manufacturers analysis https   t co t    apid 
186,targeted oncology, the pfs for patients in the acalabrutinib arms  of the elevate cll tn trial  outperformed the control  which was obinutuzumab chlorambucil  by a significant difference   dr  seymour said during this live virtual meeting  https   t co ozz ovjcle  leukemia
187,medicina e informazione,leucemia linfatica cronica  acalabrutinib   approvato in europa  ha dimostrato un beneficio significativo in termini di efficacia e tollerabilit  a lungo termine tanto nel trattamento in prima linea quanto nella malattia recidivante o refrattaria https   t co r cpilgrth https   t co tqkhouaiup
188,calquence   acalabrutinib ,https   t co w  aqqbux  calquence is an oral treatment option for adult patients with chronic lymphocytic leukemia  cll  
189,calquence   acalabrutinib ,https   t co w  aqqbux  see if calquence can be used to treat your adult patients with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll  
190,calquence   acalabrutinib ,https   t co w  aqqbux  in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
